date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:52	556/556	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Thu,%2012%20Jan%202017%2008:52:52%20GMT	http://wp1.themexlab.com/robots.txt		(from )
14:22:52	85792/85792	---MCZ	200	added ('OK')	text/html	etag:W/%2214f20-53b688637e180%22	http://wp1.themexlab.com/html2/edinburgh/	wp1.themexlab.com/html2/edinburgh/index.html	(from )
14:22:53	10009/10009	---MCZ	200	added ('OK')	text/css	etag:W/%2257c61fde-2719%22	http://wp1.themexlab.com/html2/edinburgh/css/common-style.css	wp1.themexlab.com/html2/edinburgh/css/common-style.css	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:53	7942/7942	---MCZ	200	added ('OK')	text/css	etag:W/%2257c78eb4-1f06%22	http://wp1.themexlab.com/html2/edinburgh/css/responsive.css	wp1.themexlab.com/html2/edinburgh/css/responsive.css	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:54	85792/85792	---MCZ	200	added ('OK')	text/html	etag:W/%2257c78ad6-14f20%22	http://wp1.themexlab.com/html2/edinburgh/index.html	wp1.themexlab.com/html2/edinburgh/index-2.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:54	2648/2648	---M--	200	added ('OK')	image/png	etag:%2257894e6c-a58%22	http://wp1.themexlab.com/html2/edinburgh/images/logo/1.png	wp1.themexlab.com/html2/edinburgh/images/logo/1.png	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:54	79486/79486	---MCZ	200	added ('OK')	text/html	etag:W/%2257c787a0-1367e%22	http://wp1.themexlab.com/html2/edinburgh/index-2.html	wp1.themexlab.com/html2/edinburgh/index-3.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:55	56607/56607	---MCZ	200	added ('OK')	text/html	etag:W/%2257c78aba-dd1f%22	http://wp1.themexlab.com/html2/edinburgh/index-3.html	wp1.themexlab.com/html2/edinburgh/index-4.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:55	25104/25104	---MCZ	200	added ('OK')	text/html	etag:W/%2257c78b0e-6210%22	http://wp1.themexlab.com/html2/edinburgh/about.html	wp1.themexlab.com/html2/edinburgh/about.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:55	21298/21298	---MCZ	200	added ('OK')	text/html	etag:W/%2257c78b6a-5332%22	http://wp1.themexlab.com/html2/edinburgh/speakers.html	wp1.themexlab.com/html2/edinburgh/speakers.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:56	15091/15091	---MCZ	200	added ('OK')	text/html	etag:W/%2257c74ee4-3af3%22	http://wp1.themexlab.com/html2/edinburgh/speaker-detrails.html	wp1.themexlab.com/html2/edinburgh/speaker-detrails.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:56	45296/45296	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6550a-b0f0%22	http://wp1.themexlab.com/html2/edinburgh/schedule.html	wp1.themexlab.com/html2/edinburgh/schedule.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:56	16819/16819	---MCZ	200	added ('OK')	text/html	etag:W/%2257c65502-41b3%22	http://wp1.themexlab.com/html2/edinburgh/schedule-tab.html	wp1.themexlab.com/html2/edinburgh/schedule-tab.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:56	11888/11888	---MCZ	200	added ('OK')	text/html	etag:W/%2257c654fa-2e70%22	http://wp1.themexlab.com/html2/edinburgh/schedule-details.html	wp1.themexlab.com/html2/edinburgh/schedule-details.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:57	19332/19332	---MCZ	200	added ('OK')	text/html	etag:W/%2257c654d2-4b84%22	http://wp1.themexlab.com/html2/edinburgh/blog.html	wp1.themexlab.com/html2/edinburgh/blog.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:57	22697/22697	---MCZ	200	added ('OK')	text/html	etag:W/%2257c654c4-58a9%22	http://wp1.themexlab.com/html2/edinburgh/Gallery-1.html	wp1.themexlab.com/html2/edinburgh/Gallery-1.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:58	20745/20745	---MCZ	200	added ('OK')	text/html	etag:W/%2257c7244c-5109%22	http://wp1.themexlab.com/html2/edinburgh/pricing-table.html	wp1.themexlab.com/html2/edinburgh/pricing-table.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:58	9916/9916	---MCZ	200	added ('OK')	text/html	etag:W/%2257c654e4-26bc%22	http://wp1.themexlab.com/html2/edinburgh/payment-method.html	wp1.themexlab.com/html2/edinburgh/payment-method.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:58	13454/13454	---MCZ	200	added ('OK')	text/html	etag:W/%2257c65528-348e%22	http://wp1.themexlab.com/html2/edinburgh/sponsors.html	wp1.themexlab.com/html2/edinburgh/sponsors.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:58	23008/23008	---MCZ	200	added ('OK')	text/html	etag:W/%2257c65512-59e0%22	http://wp1.themexlab.com/html2/edinburgh/single-blog.html	wp1.themexlab.com/html2/edinburgh/single-blog.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:59	21547/21547	---MCZ	200	added ('OK')	text/html	etag:W/%2257c65530-542b%22	http://wp1.themexlab.com/html2/edinburgh/venue.html	wp1.themexlab.com/html2/edinburgh/venue.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:59	12715/12715	---MCZ	200	added ('OK')	text/html	etag:W/%2257c654ca-31ab%22	http://wp1.themexlab.com/html2/edinburgh/contact-us.html	wp1.themexlab.com/html2/edinburgh/contact-us.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:22:59	1175/1175	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Jan%202017%2008:52:59%20GMT	http://wp1.themexlab.com/html2/edinburgh/cart-page.html	wp1.themexlab.com/html2/edinburgh/cart-page.html	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:08	42278/42278	---M--	200	added ('OK')	image/jpeg	etag:%22578c5f1c-a526%22	http://wp1.themexlab.com/html2/edinburgh/images/resource/1.jpg	wp1.themexlab.com/html2/edinburgh/images/resource/1.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:16	43372/43372	---M--	200	added ('OK')	image/jpeg	etag:%22578c5f44-a96c%22	http://wp1.themexlab.com/html2/edinburgh/images/resource/3.jpg	wp1.themexlab.com/html2/edinburgh/images/resource/3.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:19	13268/13268	---M--	200	added ('OK')	image/jpeg	etag:%22578d3c02-33d4%22	http://wp1.themexlab.com/html2/edinburgh/images/team/1.jpg	wp1.themexlab.com/html2/edinburgh/images/team/1.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:23	21387/21387	---M--	200	added ('OK')	image/jpeg	etag:%22578d3da2-538b%22	http://wp1.themexlab.com/html2/edinburgh/images/team/2.jpg	wp1.themexlab.com/html2/edinburgh/images/team/2.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:28	12577/12577	---M--	200	added ('OK')	image/jpeg	etag:%22578d3ebc-3121%22	http://wp1.themexlab.com/html2/edinburgh/images/team/4.jpg	wp1.themexlab.com/html2/edinburgh/images/team/4.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:31	16460/16460	---M--	200	added ('OK')	image/jpeg	etag:%22578d3ed6-404c%22	http://wp1.themexlab.com/html2/edinburgh/images/team/5.jpg	wp1.themexlab.com/html2/edinburgh/images/team/5.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:34	14392/14392	---M--	200	added ('OK')	image/jpeg	etag:%22578d3eee-3838%22	http://wp1.themexlab.com/html2/edinburgh/images/team/6.jpg	wp1.themexlab.com/html2/edinburgh/images/team/6.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
